unique_id,timestamp,country,date,y_pred,runtime_seconds,model_version,test_mode
f05f5073,2026-05-17 14:14:20,United Kingdom,2019-01-01,7841.40,0.1006,1.1,False
15fe7bc0,2026-05-17 14:14:45,United Kingdom,2018-07-01,7841.40,0.0635,1.1,False
61e54973,2026-05-17 14:14:47,United Kingdom,2018-07-01,7841.40,0.0576,1.1,False
ef0186b6,2026-05-17 14:14:58,United Kingdom,2018-07-01,7841.40,0.0495,1.1,False
610ec7ab,2026-05-17 14:15:13,United Kingdom,2018-07-01,7841.40,0.0316,1.1,False
176a702f,2026-05-17 14:15:32,United Kingdom,2018-07-01,7841.40,0.0755,1.1,False
568518c9,2026-05-17 14:15:38,United Kingdom,2018-06-01,7841.40,0.0633,1.1,False
3704bcf0,2026-05-17 14:15:45,United Kingdom,2018-01-05,7841.40,0.0577,1.1,False
d9974838,2026-05-17 14:15:49,all,2018-01-05,7841.40,0.1309,1.1,False
c2dcd327,2026-05-17 14:15:53,France,2018-01-05,904.47,0.4507,1.1,False
539c37a1,2026-05-17 14:15:59,Netherlands,2018-01-05,1899.97,0.7863,1.1,False
9e98d596,2026-05-17 14:16:17,EIRE,2018-01-05,3161.44,0.5254,1.1,False
980f75cb,2026-05-23 12:37:48,all,2019-09-01,7841.40,0.0992,1.1,False
0d6d685b,2026-05-23 12:37:53,all,2019-10-01,7841.40,0.0630,1.1,False
520ea4c6,2026-05-23 12:38:00,all,2019-09-01,7841.40,0.0566,1.1,False
feadbb61,2026-05-23 12:38:09,United Kingdom,2019-09-01,3882.54,0.0967,1.1,False
db0672ee,2026-05-23 12:38:15,all,2019-09-01,7841.40,0.0577,1.1,False
51efa134,2026-05-23 12:57:53,all,2020-08-15,7841.40,0.0371,1.1,False
74b16759,2026-05-23 12:58:09,all,2019-01-01,7841.40,0.0553,1.1,False
9c4f7f01,2026-05-23 12:58:14,all,2019-01-05,7841.40,0.0559,1.1,False
c610eb23,2026-05-23 12:58:18,France,2019-01-05,1575.82,0.1063,1.1,False
5823b6f8,2026-05-23 12:58:22,Netherlands,2019-01-05,2330.69,0.1082,1.1,False
9883d4af,2026-05-23 12:58:26,Portugal,2019-01-05,978.46,0.4443,1.1,False
19894997,2026-05-23 12:58:32,Spain,2019-01-05,2558.95,0.4936,1.1,False
a4acb4c2,2026-05-23 12:59:18,Germany,2019-10-01,1155.11,0.4527,1.1,False
5fb7c8e7,2026-05-23 13:35:57,United Kingdom,2019-08-01,5828.66,0.0676,1.1,False
