unique_id,timestamp,country,date,eval_test,runtime_seconds,model_version,test_mode
043f1831,2026-04-11 19:28:49,United Kingdom,2026-04-11 19:28:49,"{'model_type': 'rf', 'country': 'United Kingdom', 'rmse': np.float64(64698.615689171595), 'mae': np.float64(57329.70518323239), 'train_size': 392, 'test_size': 99, 'trained_at': '2026-04-11 19:28:49'}",10.6933,1.0,False
793c57c0,2026-04-11 19:35:55,United Kingdom,2026-04-11 19:35:55,"{'model_type': 'xgb', 'country': 'United Kingdom', 'rmse': np.float64(67099.67365150724), 'mae': np.float64(59952.777641414155), 'mape': np.float64(13.004273569667415), 'train_size': 392, 'test_size': 99, 'n_features': 20, 'trained_at': '2026-04-11 19:35:55'}",11.5507,1.0,False
f89bb1ed,2026-04-11 19:42:44,United Kingdom,2026-04-11 19:42:44,"{'model_type': 'xgb', 'country': 'United Kingdom', 'rmse': np.float64(654049.6337745829), 'mae': np.float64(436392.8655487179), 'mape': np.float64(9.571356848812341), 'train_size': 780, 'test_size': 195, 'n_features': 20, 'trained_at': '2026-04-11 19:42:44'}",24.5324,1.0,False
c06cefbc,2026-04-11 19:47:29,France,2026-04-11 19:47:29,"{'model_type': 'xgb', 'country': 'France', 'rmse': np.float64(174465.13707820166), 'mae': np.float64(133465.62571794871), 'mape': np.float64(13.000358553257616), 'train_size': 780, 'test_size': 195, 'n_features': 20, 'trained_at': '2026-04-11 19:47:29'}",24.9529,1.0,False
91f25f30,2026-04-11 19:55:37,France,2026-04-11 19:55:37,"{'model_type': 'xgb', 'country': 'France', 'rmse_pct': np.float64(18.52), 'mae_pct': np.float64(14.17), 'mape': np.float64(13.0), 'mean_30d_revenue': np.float64(941809.49), 'train_size': 780, 'test_size': 195, 'n_features': 20, 'trained_at': '2026-04-11 19:55:37'}",24.8529,1.0,False
ab74290d,2026-04-11 19:58:18,United Kingdom,2026-04-11 19:58:18,"{'model_type': 'xgb', 'country': 'United Kingdom', 'rmse_pct': np.float64(15.6), 'mae_pct': np.float64(10.41), 'mape': np.float64(9.57), 'mean_30d_revenue': np.float64(4192456.65), 'train_size': 780, 'test_size': 195, 'n_features': 20, 'trained_at': '2026-04-11 19:58:18'}",24.8635,1.0,False
50c0d7df,2026-04-14 13:47:11,France,2026-04-14 13:47:11,"{'model_type': 'xgb', 'country': 'France', 'rmse_pct': np.float64(18.52), 'mae_pct': np.float64(14.17), 'mape': np.float64(13.0), 'mean_30d_revenue': np.float64(941809.49), 'train_size': 780, 'test_size': 195, 'n_features': 20, 'trained_at': '2026-04-14 13:47:11'}",18.5836,1.0,False
9b2b070c,2026-04-14 13:47:56,Spain,2026-04-14 13:47:56,"{'model_type': 'xgb', 'country': 'Spain', 'rmse_pct': np.float64(23.88), 'mae_pct': np.float64(19.04), 'mape': np.float64(17.71), 'mean_30d_revenue': np.float64(343361.05), 'train_size': 780, 'test_size': 195, 'n_features': 20, 'trained_at': '2026-04-14 13:47:56'}",24.3611,1.0,False
3f84c8b6,2026-04-14 13:48:35,United Kingdom,2026-04-14 13:48:35,"{'model_type': 'xgb', 'country': 'United Kingdom', 'rmse_pct': np.float64(15.6), 'mae_pct': np.float64(10.41), 'mape': np.float64(9.57), 'mean_30d_revenue': np.float64(4192456.65), 'train_size': 780, 'test_size': 195, 'n_features': 20, 'trained_at': '2026-04-14 13:48:35'}",24.8595,1.0,False
adf179aa,2026-05-09 17:05:10,all,2026-05-09 17:05:10,"{'model_type': 'xgb', 'country': 'all', 'rmse_pct': np.float64(15.48), 'mae_pct': np.float64(10.48), 'mape': np.float64(9.67), 'mean_30d_revenue': np.float64(9363565.66), 'train_size': 780, 'test_size': 195, 'n_features': 20, 'trained_at': '2026-05-09 17:05:10'}",30.1593,1.0,True
